Attraction,Description,Country,Continent
Tannery,"Tetouan has traditionally been a leather-producing town, and there is a small tannery here. They're smaller than the tanneries at Fez, but still…",Morocco,Africa
Igherm Iqadarne,"Towering above the village, the ighrane (collective granary) is popular as a tourist site and as a panoramic viewpoint for views of the surrounding…",Morocco,Africa
Plateforme du Sémaphore,This plaza at the highest point of the Kasbah Les Oudaias offers wonderful views over the estuary and across to Salé. The elevated position once provided…,Morocco,Africa
Grande Mosquée,"Towering over Oujda's small medina, the oldest mosque in the city, known to followers as Lkebir Jamaa, was built when Merinid ruler Sultan Abou Youssef…",Morocco,Africa
Clock Tower,You're bound to pass this 20m-tall clock tower as you dip in to the old medina. It's one of the most striking landmarks in downtown Casablanca. The tower…,Morocco,Africa
Grand Mosqée,This medina landmark dates from the beginning of the 11th century. It's the third-largest mosque in Morocco and a striking architectural mix of the…,Morocco,Africa
Iglesia de Bacturia,This bright yellow Roman Catholic church looking out on Place Moulay El Mehdi was built in 1917 and is still active. A church in a main square is a…,Morocco,Africa
Andalusian Gardens,"These gardens, laid out by the French during the colonial period, are located within the Kasbah des Oudaias. Full of citrus trees, lofty palms and vibrant…",Morocco,Africa
Assalama Ferry Wreck,"The wrecked Armas ferry, Assalama, 2km south of town, worked the short-lived route between Tarfaya and Fuerteventura when it went down in 2008. Its rusted…",Morocco,Africa
Koubba of Sidi Ben Ashir At Taleb,This white koubba (shrine of a saint) at the edge of the medina was built to honour a 14th-century Spanish adherent and teacher of Sufism. The faithful…,Morocco,Africa
Mohamed Drissi Gallery of Contemporary Art,This contemporary art gallery housed in the grand 19th-century former British consulate contains mostly temporary exhibitions. The art is usually well…,Morocco,Africa
Ksar Tinheras,"For a glimpse in to life in a living ksar (fortified village), a resident is sure to find you and offer to show you around its warren of alleyways. It's a…",Morocco,Africa
Lahboul Gardens,"These gardens just outside the medina were being renovated on the last visit. When finished, they should be a tranquil place to stroll after a busy…",Morocco,Africa
Casa Mar,Numerous romantically dilapidated colonial-era buildings date from the days when Saint-Exupéry touched down here. The Casa Mar is abandoned but still…,Morocco,Africa
Mémoire d’Agadir,"This small museum in the southwest corner of Jardin de Olhão, entered from outside the park, is dedicated to the 1960 earthquake. Displays include…",Morocco,Africa
Grande Mosquée,"Towering over Plaza Uta El Hammam, the Grand Mosquée and its unusual octagonal minaret were built in the 15th century by the son of the town’s founder,…",Morocco,Africa
Carpentry Souq,"Best visited after going to the Artisanal School, where you can see the detail and hard work that goes into making each piece, this is where you'll find…",Morocco,Africa
Mosque El Atiqa,This small mosque is Rabat's oldest. It was built in the 10th century and restored in the 18th with funds donated by an English pirate known as Ahmed El…,Morocco,Africa
Tomb of Sidi Said Ahansal,"The 13th-century tomb of Sidi Said Ahansal is the chief place of religious pilgrimage in the valley, though it is off-limits to non-Muslims. Above the…",Morocco,Africa
Témara Plage,"Wild and sandy Témara Plage, 15km south of the city, is popular with surfers and sunbathers in summer; there are dangerous rips so swimmers should be…",Morocco,Africa
Galerie Lafnar,"In an interesting old funduq (ancient inn used by caravans), this art gallery sells work by local artists, as well as staging occasional exhibitions. Just…",Morocco,Africa
Former Spanish Consulate,"One of Spanish Sidi Ifni's most attractive art-deco buildings, with a notable front porch ideal for the partaking of consular libations. Wonderfully tall…",Morocco,Africa
St Pierre Cathedral,"With an architecturally interesting exterior, this bright white cathedral dates from 1919 but its two art deco–style towers were added in the 1930s. They…",Morocco,Africa
Slave Prison,"Built by the dastardly Sallee Rovers pirates and recently restored, this slave prison next to the Muslim cemetery hadn't officially opened during our most…",Morocco,Africa
Sidi Mohammed Ben Abdellah Museum,"Housed in an old riad, this somewhat fusty museum has a small collection of jewellery, costumes, embroidery, woodcarving and weapons from the region. Its…",Morocco,Africa
Zawiya of Moulay Ali Ash Sharif,About 2km to the southeast of Rissani is this cheery yellow shrine built to honour the Alaouite dynasty’s founder. The Islamic garden is open to non…,Morocco,Africa
Musée du Patrimoine Amazigh,"With an excellent display of photographs and Berber artefacts, especially jewellery and daggers, the museum is a great place to learn about the…",Morocco,Africa
Galerie Conil,"Galerie Conil has three locations in the medina close to Petit Socco and one in Ville Nouvelle, showcasing artwork predominantly by local mixed-media…",Morocco,Africa
Sebt Aït Bououli,"The small village of Sebt Aït Bououli, located on bend in the road at the centre of the valley, trekkers can spend the night or stock up on food for their…",Morocco,Africa
Playa del Chorillo,"The bigger of Ceuta's two beaches, Playa del Chorillo is a little further from the city centre, but it's only slightly less busy. The water is a…",Morocco,Africa
La Source de Taghia,Water cascades out of the cliff face and down a rocky hillside at these small springs just south of Taghia. It's often a good spot to sit and observe…,Morocco,Africa
Glaoui Kasbah,"Gazing at the brown hills, the kasbah is mostly disintegrating, but it makes a pleasant sunset stroll. It's best experienced by spending the night at…",Morocco,Africa
Great Mosque,"The recently restored, dazzlingly white Great Mosque, with its Islamic-green door is an icon of the medina, although it's closed to non-Muslims. A small…",Morocco,Africa
Souq El Kebir,"In the medina's main souq, hole-in-the-wall emporiums sell household goods, leather and wood. The spice souq is nearby, where you can pick up mounds of…",Morocco,Africa
Royal Palace,The Royal residence was built in 1988 in what was once Feddan Park. The palace is still active as King Mohammed VI has been known to visit during the…,Morocco,Africa
Agadir Beach,"Locals and tourists come together here to enjoy the tawny sand, fresh breeze and lapping waves. There are lots of cafes, restaurants and vendors to help…",Morocco,Africa
Place Al Alaouyine,"During Moroccan holidays, Place Al Alaouyine is like Marrakesh's Djemaa El Fna in miniature, with storytellers, snake charmers, escapologists and…",Morocco,Africa
Aire de Pique-Nique Les Cerfs,Wooden tables and benches under the trees make this a pleasant place to picnic. The toilets are only open in July and August.,Morocco,Africa
Museo de Ceuta,"This ageing municipal museum has a small collection showing the peninsula’s pre-Spanish history, with all labels in Spanish. The temporary exhibitions are…",Morocco,Africa
Jardin de Olhão,"A cool, relaxing garden created in 1992 to mark the twinning of Agadir with the Portuguese town of Olhão. Good for retreating for a cool drink or to plan…",Morocco,Africa
Aire de Pique-Nique Les Oiseaux,Wooden tables and benches under the trees make this a pleasant place to picnic. The toilets are only open in July and August.,Morocco,Africa
Central Market Post Office,Art Nouveau meets neo-Moorish architecture in one of Blvd Mohammed V's most striking buildings. This yellow-and-white confection is still a functioning…,Morocco,Africa
Clock Tower,"Oujda's most recognisable landmark is the 1920s art-deco clock tower that overlooks Place 16 Août. The mosque next to it is arguably more impressive,…",Morocco,Africa
Dayet Chiker,The wide valley of the River Lakhal contains a few small hamlets surrounded by farmlands. It's in sharp contrast to the heavily forested mountains all…,Morocco,Africa
Fort de la Calette Lighthouse,"Built in 1920 and still working, this 31m-tall, white lighthouse rises above natural stone walls and the rocks below. It looks especially striking at…",Morocco,Africa
Jardin Harti,This tranquil park is full of palm-tree-shaded benches and flower beds that bloom through summer. It's popular with local families out for a weekend…,Morocco,Africa
Banque Al Maghrib,The blockish central bank just south of Place 16 Août was built during the French protectorate in the 1920s. It's constructed in the Franco-Moorish style.,Morocco,Africa
Souq El Merzouk,"Textiles, basketwork and jewellery are crafted and sold in this souq. Also on sale are the woven grass mats used in mosques, for which Salé is famous.",Morocco,Africa
Grande Mosquée de Rabat Medina,"This mosque, a 14th-century Merinid original much rebuilt in the intervening years, is located just off the Souq As Sebbat. It is closed to non-Muslims.",Morocco,Africa
Puerta de la Marina,"The main entrance to the Melilla la Vieja fortress is Puerta de la Marina, a gate which once had a drawbridge system with chains and a moat.",Morocco,Africa
Horno Bab El Ain,A traditional bakery; locals still bring their bread dough and bastilla (savoury-sweet pies) to bake here.,Morocco,Africa
Bab Homar,"The southern gate into the medina, Bab Homar is topped by a much-eroded Portuguese royal coat of arms.",Morocco,Africa
Imlil Waterfalls,Two small waterfalls just south of the Kasbah du Toubkal make a pleasant afternoon walk from Imlil.,Morocco,Africa
